******************************
*      Summary Statistics    *


******************************
Average Overall Score of All Competitors: 7.31

************************************
*         Individual Stats         *
************************************
| Number | Name                      | Age        | Gender  | Country    | Overall        |
|--------|---------------------------|------------|---------|------------|----------------|
| 100    | Ann Sthen                 | 23         | Female  | UK         | 4.250000       |
|--------|---------------------------|------------|---------|------------|----------------|
|        |                           |            |         |            | Scores         |
|--------|---------------------------|------------|---------|------------|----------------|
|        |                           |            |         |            | [5, 2, 1, 9]   |
|        |                           |            |         |            | Beginner Boxer |
|--------|---------------------------|------------|---------|------------|----------------|
| 101    | George Beth Shon          | 31         | Male    | UK         | 4.500000       |
|--------|---------------------------|------------|---------|------------|----------------|
|        |                           |            |         |            | Scores         |
|--------|---------------------------|------------|---------|------------|----------------|
|        |                           |            |         |            | [2, 6, 5, 5]   |
|        |                           |            |         |            | Beginner Boxer |
|--------|---------------------------|------------|---------|------------|----------------|
| 102    | Kaith Andy Clos           | 29         | Female  | UK         | 3.750000       |
|--------|---------------------------|------------|---------|------------|----------------|
|        |                           |            |         |            | Scores         |
|--------|---------------------------|------------|---------|------------|----------------|
|        |                           |            |         |            | [4, 7, 2, 2]   |
|        |                           |            |         |            | Beginner Boxer |
|--------|---------------------------|------------|---------|------------|----------------|
| 103    | Rinon Grov                | 25         | Male    | US         | 3.500000       |
|--------|---------------------------|------------|---------|------------|----------------|
|        |                           |            |         |            | Scores         |
|--------|---------------------------|------------|---------|------------|----------------|
|        |                           |            |         |            | [1, 1, 5, 7]   |
|        |                           |            |         |            | Beginner Boxer |
|--------|---------------------------|------------|---------|------------|----------------|
| 104    | Mark Do Leno              | 22         | Male    | UK         | 4.500000       |
|--------|---------------------------|------------|---------|------------|----------------|
|        |                           |            |         |            | Scores         |
|--------|---------------------------|------------|---------|------------|----------------|
|        |                           |            |         |            | [5, 7, 4, 2]   |
|        |                           |            |         |            | Beginner Boxer |
|--------|---------------------------|------------|---------|------------|----------------|
| 105    | Harry Patrick             | 32         | Male    | UK         | 8.750000       |
|--------|---------------------------|------------|---------|------------|----------------|
|        |                           |            |         |            | Scores         |
|--------|---------------------------|------------|---------|------------|----------------|
|        |                           |            |         |            | [2, 6, 5, 8]   |
|        |                           |            |         |            | Advanced Boxer |
|--------|---------------------------|------------|---------|------------|----------------|
| 106    | Vicy Mathew               | 33         | Male    | UK         | 9.250000       |
|--------|---------------------------|------------|---------|------------|----------------|
|        |                           |            |         |            | Scores         |
|--------|---------------------------|------------|---------|------------|----------------|
|        |                           |            |         |            | [6, 2, 9, 5]   |
|        |                           |            |         |            | Advanced Boxer |
|--------|---------------------------|------------|---------|------------|----------------|
| 107    | Monica Loy                | 29         | Female  | US         | 4.500000       |
|--------|---------------------------|------------|---------|------------|----------------|
|        |                           |            |         |            | Scores         |
|--------|---------------------------|------------|---------|------------|----------------|
|        |                           |            |         |            | [4, 4, 8, 2]   |
|        |                           |            |         |            | Beginner Boxer |
|--------|---------------------------|------------|---------|------------|----------------|
| 108    | Susan Mathew              | 28         | Female  | US         | 4.750000       |
|--------|---------------------------|------------|---------|------------|----------------|
|        |                           |            |         |            | Scores         |
|--------|---------------------------|------------|---------|------------|----------------|
|        |                           |            |         |            | [5, 6, 5, 3]   |
|        |                           |            |         |            | Beginner Boxer |
